period,sample_rule,control_spec,exposure_spec,outcome,n_obs,coef_medium,pval_wbt_medium,coef_high,pval_wbt_high,controls
covid_robust_2022_2025,available_case,legacy_full,exposure_exp_hybrid,poverty_gap_sq,151307,0.004968651233404521,0.24142414241424143,0.0019197825848945868,0.6528652865286528,hh_size;n_children;head_age_group;head_sex;head_labour_group;single_parent_hh;homeowner
covid_robust_2022_2025,common_sample,unadjusted,exposure_exp_hybrid,poverty,150621,0.027536535279785744,0.0749074907490749,0.006808608901769036,0.49454945494549457,
covid_robust_2022_2025,common_sample,unadjusted,exposure_exp_hybrid,matdep,150621,0.0019864780960940215,0.5078507850785079,0.009642575845710816,0.20422042204220422,
covid_robust_2022_2025,common_sample,unadjusted,exposure_exp_hybrid,poverty_gap,150621,0.010721532935682536,0.16061606160616063,0.0005065146979268241,0.9205920592059206,
covid_robust_2022_2025,common_sample,unadjusted,exposure_exp_hybrid,poverty_gap_sq,150621,0.006700222906056737,0.1769176917691769,0.00016111291525463953,0.9673967396739674,
covid_robust_2022_2025,common_sample,preferred_demographic,exposure_exp_hybrid,poverty,150621,0.023252881624049045,0.11981198119811981,0.0009228540902345579,0.9193919391939194,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group
covid_robust_2022_2025,common_sample,preferred_demographic,exposure_exp_hybrid,matdep,150621,0.00027486620843651666,0.9206920692069207,0.006705338400210086,0.3169316931693169,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group
covid_robust_2022_2025,common_sample,preferred_demographic,exposure_exp_hybrid,poverty_gap,150621,0.009003328628507596,0.19091909190919093,-0.0020669125996184926,0.6691669166916692,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group
covid_robust_2022_2025,common_sample,preferred_demographic,exposure_exp_hybrid,poverty_gap_sq,150621,0.005617666139721112,0.22442244224422442,-0.0015101661356745444,0.711971197119712,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group
covid_robust_2022_2025,common_sample,extended_composition,exposure_exp_hybrid,poverty,150621,0.02324438037363976,0.11411141114111412,-0.0025228935403888812,0.7965796579657966,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group;single_parent_hh;homeowner
covid_robust_2022_2025,common_sample,extended_composition,exposure_exp_hybrid,matdep,150621,0.0002641456740709978,0.916891689168917,0.004327235368036339,0.49784978497849786,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group;single_parent_hh;homeowner
