variable,value,unweighted_n,weighted_n,unweighted_pct,weighted_pct
n_children,2.0,18896,18896.0,10.9861103843627,10.9861103843627
n_children,3.0,3110,3110.0,1.8081500473839964,1.8081500473839964
n_children,4.0,461,461.0,0.26802481409775636,0.26802481409775636
n_children,5.0,69,69.0,0.0401165123053041,0.0401165123053041
n_children,6.0,21,21.0,0.012209373310309943,0.012209373310309943
n_children,7.0,4,4.0,0.002325594916249513,0.002325594916249513
n_children,8.0,5,5.0,0.0029069936453118912,0.0029069936453118912
n_children,9.0,1,1.0,0.0005813987290623783,0.0005813987290623783
hh_size,1.0,43186,43186.0,25.108285513287868,25.108285513287868
hh_size,10.0,18,18.0,0.01046517712312281,0.01046517712312281
hh_size,11.0,5,5.0,0.0029069936453118912,0.0029069936453118912
hh_size,12.0,1,1.0,0.0005813987290623783,0.0005813987290623783
hh_size,13.0,5,5.0,0.0029069936453118912,0.0029069936453118912
hh_size,14.0,1,1.0,0.0005813987290623783,0.0005813987290623783
hh_size,2.0,55600,55600.0,32.32576933586823,32.32576933586823
hh_size,3.0,34854,34854.0,20.26407130274013,20.26407130274013
hh_size,4.0,29758,29758.0,17.301263379438254,17.301263379438254
hh_size,5.0,6556,6556.0,3.811650067732952,3.811650067732952
hh_size,6.0,1510,1510.0,0.8779120808841911,0.8779120808841911
hh_size,7.0,365,365.0,0.21221053610776808,0.21221053610776808
hh_size,8.0,110,110.0,0.06395386019686161,0.06395386019686161
hh_size,9.0,30,30.0,0.01744196187187135,0.01744196187187135
single_parent_hh,0.0,166921,166921.0,97.04765725382124,97.04765725382124
single_parent_hh,1.0,5078,5078.0,2.952342746178757,2.952342746178757
head_non_eu_born,0.0,119100,119100.0,69.24458863132925,69.24458863132925
head_non_eu_born,1.0,10627,10627.0,6.178524293745894,6.178524293745894
head_non_eu_born,<MISSING>,42272,42272.0,24.576887074924855,24.576887074924855
homeowner,0.0,36494,36494.0,21.21756521840243,21.21756521840243
homeowner,1.0,135505,135505.0,78.78243478159757,78.78243478159757
head_labour_group,<MISSING>,66,66.0,0.038372316118116964,0.038372316118116964
head_labour_group,employed,139171,139171.0,80.91384252234025,80.91384252234025
head_labour_group,inactive,28822,28822.0,16.757074169035867,16.757074169035867
head_labour_group,unemployed,3940,3940.0,2.2907109925057703,2.2907109925057703
head_unemployed,0.0,168057,168057.0,97.7081262100361,97.7081262100361
head_unemployed,1.0,3940,3940.0,2.2907109925057703,2.2907109925057703
head_unemployed,<MISSING>,2,2.0,0.0011627974581247566,0.0011627974581247566
head_employed,0.0,32826,32826.0,19.08499468020163,19.08499468020163
head_employed,1.0,139171,139171.0,80.91384252234025,80.91384252234025
head_employed,<MISSING>,2,2.0,0.0011627974581247566,0.0011627974581247566
