model,exposure_spec,outcome,group,year,rel_year,term,coef,se,ci_low,ci_high,pval_crv1,reference_year,pre_period,n_obs,n_clusters,pretrend_chi2_stat,pretrend_chi2_p,pretrend_inference
continuous,exposure_exp_sim,matdep,,2017,-2,event_x_2017,-0.002457981931765595,0.0038910758854033244,-0.010803509692456628,0.005887545828925438,0.5377636238422765,2019,True,160572,15,1.593946100075009,0.4506911209585496,CRV1 asymptotic chi-square Wald diagnostic
continuous,exposure_exp_sim,matdep,,2018,-1,event_x_2018,0.0015456847880003454,0.0025664417492460008,-0.00395878531109896,0.00705015488709965,0.5566254823771426,2019,True,160572,15,1.593946100075009,0.4506911209585496,CRV1 asymptotic chi-square Wald diagnostic
continuous,exposure_exp_sim,matdep,,2021,2,event_x_2021,-0.001961534396507001,0.004025046104499473,-0.010594399699692884,0.0066713309066788835,0.6335651921229735,2019,False,160572,15,1.593946100075009,0.4506911209585496,CRV1 asymptotic chi-square Wald diagnostic
continuous,exposure_exp_sim,matdep,,2022,3,event_x_2022,-0.0008572340189766413,0.003586698569071283,-0.008549937363494565,0.006835469325541282,0.8145660502547636,2019,False,160572,15,1.593946100075009,0.4506911209585496,CRV1 asymptotic chi-square Wald diagnostic
continuous,exposure_exp_sim,matdep,,2023,4,event_x_2023,0.002195125671160768,0.00568973994759148,-0.010008152826147582,0.014398404168469119,0.7054407552679409,2019,False,160572,15,1.593946100075009,0.4506911209585496,CRV1 asymptotic chi-square Wald diagnostic
continuous,exposure_exp_sim,matdep,,2024,5,event_x_2024,0.002070835508476849,0.0038064975164171103,-0.0060932896923267515,0.01023496070928045,0.5949818364919199,2019,False,160572,15,1.593946100075009,0.4506911209585496,CRV1 asymptotic chi-square Wald diagnostic
continuous,exposure_exp_sim,matdep,,2025,6,event_x_2025,0.0017239778855961177,0.004411941862179512,-0.007738696288273786,0.01118665205946602,0.7018616966494373,2019,False,160572,15,1.593946100075009,0.4506911209585496,CRV1 asymptotic chi-square Wald diagnostic
continuous,exposure_exp_sim,poverty_gap,,2017,-2,event_x_2017,0.0006121213093333825,0.002317016348195122,-0.004357384509963438,0.0055816271286302024,0.795486514614774,2019,True,160572,15,0.0725694866338645,0.9643656577085165,CRV1 asymptotic chi-square Wald diagnostic
continuous,exposure_exp_sim,poverty_gap,,2018,-1,event_x_2018,0.00035184931218373177,0.002042184211569606,-0.0040282001990666755,0.004731898823434139,0.8656748287708638,2019,True,160572,15,0.0725694866338645,0.9643656577085165,CRV1 asymptotic chi-square Wald diagnostic
continuous,exposure_exp_sim,poverty_gap,,2021,2,event_x_2021,0.0025114327272440008,0.00176022144688941,-0.0012638667998318216,0.006286732254319824,0.1755663545448114,2019,False,160572,15,0.0725694866338645,0.9643656577085165,CRV1 asymptotic chi-square Wald diagnostic
