model,exposure_spec,outcome,group,year,rel_year,term,coef,se,ci_low,ci_high,pval_crv1,reference_year,pre_period,n_obs,n_clusters,control_spec,pretrend_group_chi2_stat,pretrend_group_chi2_p,pretrend_inference,pretrend_chi2_stat,pretrend_chi2_p
tercile,exposure_exp_hybrid,poverty,medium,2025,6,event_medium_2025,0.018521960710045395,0.010238524575571346,-0.0031827417939153495,0.04022666321400614,0.0892717272635275,2019,False,171152,17,preferred_demographic,0.17409356015259814,0.9166342144116781,CRV1 asymptotic chi-square Wald diagnostic,0.773413116507574,0.9419764496488738
tercile,exposure_exp_hybrid,poverty,high,2017,-2,event_high_2017,0.003974096642119525,0.008916231261720293,-0.014927469258683539,0.022875662542922587,0.6617753561986635,2019,True,171152,17,preferred_demographic,0.4639685376964756,0.792958597360604,CRV1 asymptotic chi-square Wald diagnostic,0.773413116507574,0.9419764496488738
tercile,exposure_exp_hybrid,poverty,high,2018,-1,event_high_2018,0.007792963039898156,0.011536204778828352,-0.016662698603641626,0.03224862468343794,0.5089902380188447,2019,True,171152,17,preferred_demographic,0.4639685376964756,0.792958597360604,CRV1 asymptotic chi-square Wald diagnostic,0.773413116507574,0.9419764496488738
tercile,exposure_exp_hybrid,poverty,high,2021,2,event_high_2021,0.015832613866020525,0.008195357944197753,-0.0015407688688992977,0.03320599660094035,0.0712788837671523,2019,False,171152,17,preferred_demographic,0.4639685376964756,0.792958597360604,CRV1 asymptotic chi-square Wald diagnostic,0.773413116507574,0.9419764496488738
tercile,exposure_exp_hybrid,poverty,high,2022,3,event_high_2022,0.004666783395846616,0.00885390905232824,-0.014102665323007059,0.023436232114700292,0.6053648124589477,2019,False,171152,17,preferred_demographic,0.4639685376964756,0.792958597360604,CRV1 asymptotic chi-square Wald diagnostic,0.773413116507574,0.9419764496488738
tercile,exposure_exp_hybrid,poverty,high,2023,4,event_high_2023,0.01184749830969935,0.00686487034093726,-0.002705376704520368,0.026400373323919066,0.10363696798019562,2019,False,171152,17,preferred_demographic,0.4639685376964756,0.792958597360604,CRV1 asymptotic chi-square Wald diagnostic,0.773413116507574,0.9419764496488738
tercile,exposure_exp_hybrid,poverty,high,2024,5,event_high_2024,0.0028753520694234608,0.010853116979494483,-0.02013222812847507,0.025882932267321992,0.7944436543264608,2019,False,171152,17,preferred_demographic,0.4639685376964756,0.792958597360604,CRV1 asymptotic chi-square Wald diagnostic,0.773413116507574,0.9419764496488738
tercile,exposure_exp_hybrid,poverty,high,2025,6,event_high_2025,-0.0007055528217320549,0.01064033168623954,-0.023262048348863085,0.021850942705398974,0.9479530893042027,2019,False,171152,17,preferred_demographic,0.4639685376964756,0.792958597360604,CRV1 asymptotic chi-square Wald diagnostic,0.773413116507574,0.9419764496488738
tercile,exposure_exp_hybrid,matdep,medium,2017,-2,event_medium_2017,-0.00618534902828394,0.005721586796012355,-0.01831457119710489,0.0059438731405370105,0.29569844504774667,2019,True,171152,17,preferred_demographic,1.2597781286404726,0.5326508877177303,CRV1 asymptotic chi-square Wald diagnostic,2.321786137918396,0.676805411598252
tercile,exposure_exp_hybrid,matdep,medium,2018,-1,event_medium_2018,-0.0010983071271355852,0.0049450781872478495,-0.011581404581345737,0.009384790327074568,0.8270453484570779,2019,True,171152,17,preferred_demographic,1.2597781286404726,0.5326508877177303,CRV1 asymptotic chi-square Wald diagnostic,2.321786137918396,0.676805411598252
tercile,exposure_exp_hybrid,matdep,medium,2021,2,event_medium_2021,-0.005827980994907448,0.005791805640283343,-0.01810606046380366,0.006450098473988763,0.3292735015821502,2019,False,171152,17,preferred_demographic,1.2597781286404726,0.5326508877177303,CRV1 asymptotic chi-square Wald diagnostic,2.321786137918396,0.676805411598252
tercile,exposure_exp_hybrid,matdep,medium,2022,3,event_medium_2022,-0.000987600292101061,0.004875296747124219,-0.011322767701605837,0.009347567117403716,0.8420227918791312,2019,False,171152,17,preferred_demographic,1.2597781286404726,0.5326508877177303,CRV1 asymptotic chi-square Wald diagnostic,2.321786137918396,0.676805411598252
tercile,exposure_exp_hybrid,matdep,medium,2023,4,event_medium_2023,0.001212341432284747,0.005445977123128868,-0.010332614330473862,0.012757297195043356,0.8266541647317736,2019,False,171152,17,preferred_demographic,1.2597781286404726,0.5326508877177303,CRV1 asymptotic chi-square Wald diagnostic,2.321786137918396,0.676805411598252
tercile,exposure_exp_hybrid,matdep,medium,2024,5,event_medium_2024,-0.004728660368597295,0.004217526598346313,-0.013669417354038236,0.004212096616843645,0.2787521228987462,2019,False,171152,17,preferred_demographic,1.2597781286404726,0.5326508877177303,CRV1 asymptotic chi-square Wald diagnostic,2.321786137918396,0.676805411598252
tercile,exposure_exp_hybrid,matdep,medium,2025,6,event_medium_2025,-0.003612177814813614,0.004962285744402179,-0.01413175366062188,0.006907398030994653,0.4771773039814611,2019,False,171152,17,preferred_demographic,1.2597781286404726,0.5326508877177303,CRV1 asymptotic chi-square Wald diagnostic,2.321786137918396,0.676805411598252
tercile,exposure_exp_hybrid,matdep,high,2017,-2,event_high_2017,0.007609289974803257,0.00920140414957095,-0.011896815442148639,0.027115395391755153,0.42041642723970907,2019,True,171152,17,preferred_demographic,0.7304502932736349,0.6940403724301873,CRV1 asymptotic chi-square Wald diagnostic,2.321786137918396,0.676805411598252
tercile,exposure_exp_hybrid,matdep,high,2018,-1,event_high_2018,0.0007262896763751271,0.006619698605218842,-0.013306844476075844,0.014759423828826099,0.9139986071625508,2019,True,171152,17,preferred_demographic,0.7304502932736349,0.6940403724301873,CRV1 asymptotic chi-square Wald diagnostic,2.321786137918396,0.676805411598252
tercile,exposure_exp_hybrid,matdep,high,2021,2,event_high_2021,0.0108201450885085,0.008371867045667945,-0.006927420225978765,0.028567710402995765,0.2145587895377743,2019,False,171152,17,preferred_demographic,0.7304502932736349,0.6940403724301873,CRV1 asymptotic chi-square Wald diagnostic,2.321786137918396,0.676805411598252
tercile,exposure_exp_hybrid,matdep,high,2022,3,event_high_2022,0.0077935789288653065,0.0060158879858155856,-0.004959533891786633,0.020546691749517246,0.2135278607053397,2019,False,171152,17,preferred_demographic,0.7304502932736349,0.6940403724301873,CRV1 asymptotic chi-square Wald diagnostic,2.321786137918396,0.676805411598252
tercile,exposure_exp_hybrid,matdep,high,2023,4,event_high_2023,0.01764757113273813,0.008576224507162548,-0.0005332126473069493,0.03582835491278321,0.056291837478253504,2019,False,171152,17,preferred_demographic,0.7304502932736349,0.6940403724301873,CRV1 asymptotic chi-square Wald diagnostic,2.321786137918396,0.676805411598252
tercile,exposure_exp_hybrid,matdep,high,2024,5,event_high_2024,0.007164985485069823,0.006641626430895293,-0.006914633581233056,0.021244604551372705,0.2966725019390073,2019,False,171152,17,preferred_demographic,0.7304502932736349,0.6940403724301873,CRV1 asymptotic chi-square Wald diagnostic,2.321786137918396,0.676805411598252
tercile,exposure_exp_hybrid,matdep,high,2025,6,event_high_2025,0.004744111301740907,0.007314876300598073,-0.010762733731044916,0.02025095633452673,0.52582472440622,2019,False,171152,17,preferred_demographic,0.7304502932736349,0.6940403724301873,CRV1 asymptotic chi-square Wald diagnostic,2.321786137918396,0.676805411598252
tercile,exposure_exp_hybrid,poverty_gap,medium,2017,-2,event_medium_2017,-0.002704071321511616,0.005126230832704379,-0.013571195228793015,0.008163052585769782,0.6050868612771232,2019,True,171152,17,preferred_demographic,0.4069859500271163,0.815875935819929,CRV1 asymptotic chi-square Wald diagnostic,1.0773894010218155,0.8978428369135021
tercile,exposure_exp_hybrid,poverty_gap,medium,2018,-1,event_medium_2018,-0.0028903785244545573,0.005465656804650024,-0.014477053348356852,0.008696296299447738,0.6041858945617342,2019,True,171152,17,preferred_demographic,0.4069859500271163,0.815875935819929,CRV1 asymptotic chi-square Wald diagnostic,1.0773894010218155,0.8978428369135021
tercile,exposure_exp_hybrid,poverty_gap,medium,2021,2,event_medium_2021,0.007550002187896289,0.004003243904358757,-0.000936495779029026,0.016036500154821602,0.0775868493689651,2019,False,171152,17,preferred_demographic,0.4069859500271163,0.815875935819929,CRV1 asymptotic chi-square Wald diagnostic,1.0773894010218155,0.8978428369135021
tercile,exposure_exp_hybrid,poverty_gap,medium,2022,3,event_medium_2022,0.004210199090040467,0.003027956172422812,-0.0022087812456883594,0.010629179425769294,0.18343414947272585,2019,False,171152,17,preferred_demographic,0.4069859500271163,0.815875935819929,CRV1 asymptotic chi-square Wald diagnostic,1.0773894010218155,0.8978428369135021
tercile,exposure_exp_hybrid,poverty_gap,medium,2023,4,event_medium_2023,0.009465715790319585,0.0036894222437717783,0.0016444900246830214,0.01728694155595615,0.020736723367225762,2019,False,171152,17,preferred_demographic,0.4069859500271163,0.815875935819929,CRV1 asymptotic chi-square Wald diagnostic,1.0773894010218155,0.8978428369135021
tercile,exposure_exp_hybrid,poverty_gap,medium,2024,5,event_medium_2024,0.009543962573762482,0.003932588993415972,0.0012072463269607835,0.01788067882056418,0.027410063551427166,2019,False,171152,17,preferred_demographic,0.4069859500271163,0.815875935819929,CRV1 asymptotic chi-square Wald diagnostic,1.0773894010218155,0.8978428369135021
tercile,exposure_exp_hybrid,poverty_gap,medium,2025,6,event_medium_2025,0.0050864756918634945,0.004465725407853746,-0.00438043926511266,0.014553390648839648,0.2714684738369679,2019,False,171152,17,preferred_demographic,0.4069859500271163,0.815875935819929,CRV1 asymptotic chi-square Wald diagnostic,1.0773894010218155,0.8978428369135021
tercile,exposure_exp_hybrid,poverty_gap,high,2017,-2,event_high_2017,0.001374294695980657,0.004978684451958844,-0.009180044856877364,0.011928634248838678,0.7860542244905036,2019,True,171152,17,preferred_demographic,0.1349319455559656,0.9347595273448468,CRV1 asymptotic chi-square Wald diagnostic,1.0773894010218155,0.8978428369135021
tercile,exposure_exp_hybrid,poverty_gap,high,2018,-1,event_high_2018,0.0016268158500464442,0.004540121548912311,-0.007997811880601374,0.011251443580694263,0.7247877496135362,2019,True,171152,17,preferred_demographic,0.1349319455559656,0.9347595273448468,CRV1 asymptotic chi-square Wald diagnostic,1.0773894010218155,0.8978428369135021
tercile,exposure_exp_hybrid,poverty_gap,high,2021,2,event_high_2021,0.007323839316324349,0.0032403915411725113,0.000454516116641014,0.014193162516007683,0.038108474795222724,2019,False,171152,17,preferred_demographic,0.1349319455559656,0.9347595273448468,CRV1 asymptotic chi-square Wald diagnostic,1.0773894010218155,0.8978428369135021
