model,exposure_spec,outcome,year,rel_year,term,coef,se,ci_low,ci_high,pval_crv1,pval_wbt,pre_period,reference_year,n_obs,n_clusters,pretrend_wald_stat,pretrend_wald_p,lead_mean,lead_max_abs,region_trends
continuous_event_study,exposure_composite_hybrid,poverty_gap,2023,4,yr_2023_x_exp,-0.00020534529181886351,0.0030008238709847194,-0.006566807717949008,0.006156117134311282,0.946291517751646,0.9490949094909491,False,2019,171999,17,11.274884541115236,0.003561967313660182,0.0032067129529080533,0.00631623055285403,False
continuous_event_study,exposure_composite_hybrid,poverty_gap,2024,5,yr_2024_x_exp,-0.0005431077565867971,0.0034237633339780516,-0.007801161791566299,0.006714946278392705,0.8759462127654347,0.8958895889588959,False,2019,171999,17,11.274884541115236,0.003561967313660182,0.0032067129529080533,0.00631623055285403,False
continuous_event_study,exposure_composite_hybrid,poverty_gap,2025,6,yr_2025_x_exp,-0.00013193443642898966,0.0030685562700512497,-0.006636983134269241,0.006373114261411262,0.9662370383792314,0.9736973697369737,False,2019,171999,17,11.274884541115236,0.003561967313660182,0.0032067129529080533,0.00631623055285403,False
continuous_event_study,exposure_composite_hybrid,poverty_gap_sq,2017,-2,yr_2017_x_exp,0.004013738491240331,0.00161464838861776,0.0005908368158304817,0.007436640166650179,0.024358428375079955,0.163016301630163,True,2019,171999,17,6.52872341475139,0.038221323688320125,0.001669271565981813,0.004013738491240331,False
continuous_event_study,exposure_composite_hybrid,poverty_gap_sq,2018,-1,yr_2018_x_exp,-0.0006751953592767045,0.0015595734654746984,-0.003981343413261374,0.0026309526947079645,0.6708407563324617,0.686068606860686,True,2019,171999,17,6.52872341475139,0.038221323688320125,0.001669271565981813,0.004013738491240331,False
continuous_event_study,exposure_composite_hybrid,poverty_gap_sq,2019,0,reference,0.0,0.0,0.0,0.0,,,True,2019,171999,17,6.52872341475139,0.038221323688320125,0.001669271565981813,0.004013738491240331,False
continuous_event_study,exposure_composite_hybrid,poverty_gap_sq,2021,2,yr_2021_x_exp,0.00140859036218652,0.0019375799617479053,-0.0026988956663877807,0.00551607639076082,0.47773836463756725,0.5056505650565056,False,2019,171999,17,6.52872341475139,0.038221323688320125,0.001669271565981813,0.004013738491240331,False
continuous_event_study,exposure_composite_hybrid,poverty_gap_sq,2022,3,yr_2022_x_exp,0.0012470182278227753,0.001957152561521195,-0.002901959858730459,0.00539599631437601,0.5330327481554293,0.6208620862086208,False,2019,171999,17,6.52872341475139,0.038221323688320125,0.001669271565981813,0.004013738491240331,False
continuous_event_study,exposure_composite_hybrid,poverty_gap_sq,2023,4,yr_2023_x_exp,0.0005804570514080993,0.0022055501090297376,-0.004095100312422057,0.005256014415238256,0.7957708044240677,0.7973797379737974,False,2019,171999,17,6.52872341475139,0.038221323688320125,0.001669271565981813,0.004013738491240331,False
continuous_event_study,exposure_composite_hybrid,poverty_gap_sq,2024,5,yr_2024_x_exp,0.0003287403271045609,0.0024620505254555236,-0.004890573628759078,0.005548054282968199,0.8954447846627034,0.9146914691469147,False,2019,171999,17,6.52872341475139,0.038221323688320125,0.001669271565981813,0.004013738491240331,False
continuous_event_study,exposure_composite_hybrid,poverty_gap_sq,2025,6,yr_2025_x_exp,0.0007668307057521852,0.002225305128864957,-0.003950605429312874,0.005484266840817245,0.7348861099790271,0.8047804780478047,False,2019,171999,17,6.52872341475139,0.038221323688320125,0.001669271565981813,0.004013738491240331,False
continuous_event_study,exposure_exp_hybrid,poverty,2017,-2,yr_2017_x_exp,0.005245954448314393,0.005588580351925297,-0.006601306654855829,0.017093215551484617,0.3618444719298608,0.3949394939493949,True,2019,171999,17,2.3309995698732373,0.311766806735082,0.002393022703575297,0.005245954448314393,False
continuous_event_study,exposure_exp_hybrid,poverty,2018,-1,yr_2018_x_exp,-0.0004599090411637999,0.0065433041964233305,-0.014331094281578291,0.013411276199250692,0.9448362635529444,0.9467946794679468,True,2019,171999,17,2.3309995698732373,0.311766806735082,0.002393022703575297,0.005245954448314393,False
continuous_event_study,exposure_exp_hybrid,poverty,2019,0,reference,0.0,0.0,0.0,0.0,,,True,2019,171999,17,2.3309995698732373,0.311766806735082,0.002393022703575297,0.005245954448314393,False
continuous_event_study,exposure_exp_hybrid,poverty,2021,2,yr_2021_x_exp,0.0009725430786026022,0.006497498943477062,-0.012801539363358923,0.01474662552056413,0.8828879233844553,0.8725872587258726,False,2019,171999,17,2.3309995698732373,0.311766806735082,0.002393022703575297,0.005245954448314393,False
continuous_event_study,exposure_exp_hybrid,poverty,2022,3,yr_2022_x_exp,0.0010526352725584852,0.005570716819082749,-0.010756756832676006,0.012862027377792977,0.8525012857716396,0.8711871187118712,False,2019,171999,17,2.3309995698732373,0.311766806735082,0.002393022703575297,0.005245954448314393,False
continuous_event_study,exposure_exp_hybrid,poverty,2023,4,yr_2023_x_exp,0.0006952067374830739,0.006168345964637242,-0.012381102560381458,0.013771516035347604,0.9116659665929494,0.9174917491749175,False,2019,171999,17,2.3309995698732373,0.311766806735082,0.002393022703575297,0.005245954448314393,False
continuous_event_study,exposure_exp_hybrid,poverty,2024,5,yr_2024_x_exp,-0.0023424658873052603,0.00799355908005611,-0.019288054140754383,0.014603122366143863,0.7732549303906602,0.7204720472047205,False,2019,171999,17,2.3309995698732373,0.311766806735082,0.002393022703575297,0.005245954448314393,False
